,sentence,intent
8916,I ordered a cake for today's birthday party let you know what the status is,3
8917,Incorporate the Podcast of Karola Paciorka,58
8918,Are there any blocks?,11
8919,I have to list the events in my March calendar.,32
8920,The King of the Rings The King of the Ring,20
8921,Oly what they play in the nearby shopping center,55
8922,Weather in the boat,13
8923,What is problematic,26
8924,Create a new list of great ideas.,21
8925,Please play radio open f. m.,36
8926,Do you know what the trends are on Facebook?,27
8927,What is the average five-year home deposit price?,4
8928,Do you want to play again?,51
8929,Include the fifth list,45
8930,I received an email from a barber.,44
8931,Delete the light,18
8932,Open the list,59
8933,I went to play today.,12
8934,What Happens With My Order,3
8935,How long it takes to cook the egg?,9
8936,How old is Dolly Parton?,49
8937,You can send me a short message.,22
8938,hello olly tell me about the last photo added on Instagram by joanna kulig,27
8939,Showing shops in my eyelid,19
8940,This song belongs to the classics.,57
8941,The nearest bar is closed,19
8942,What is the fastest way to the city?,11
8943,Remove this list,53
8944,Leave me the latest song of Sanah,45
8945,Remove the event from the calendar,30
8946,Check my new mail.,44
8947,Get rid of this position.,53
8948,The event in the calendar has many participants.,50
8949,How to Buy Tickets,12
8950,Add a new position,21
8951,The Last Movies,12
8952,I have a doctor’s visit today at 2 a.m.,32
8953,What is a Viklin chair?,26
8954,Can you remove the alarm set between eight and ninth?,52
8955,Open the radio,36
8956,Imagine Dragons,45
8957,I have a football match this weekend.,32
8958,Who received my last mail?,44
8959,Remove My Initiative,52
8960,Change the alarm setting.,48
8961,Happy Birthday to Poland,47
8962,Play playlist number one,45
8963,What is the price of Nike today?,4
8964,It is better to invest or save.,49
8965,Olly weather for the next day,13
8966,The meeting will be held on Monday at 8:00 p.m.,50
8967,I want to hear the dream of Warsaw or you can play it.,45
8968,Start the cleaning process.,34
8969,Add a birthday reception or twenty-third at the seventh afternoon.,50
8970,What is the largest volcano in the world,49
8971,I want to listen to a hundred one and three f. m.,36
8972,One hundred years as the next song.,45
8973,Cancel the future event from the place where I work,30
8974,Alex check my email.,44
8975,Please call this song a great song.,43
8976,When is the birthday of Lukas Fabian,49
8977,Remove all memories from the calendar.,30
8978,What I plan for next Monday from the afternoon to the third,32
8979,When the Birthday is,32
8980,Open the audiotek and continue to play the book I’ve listened to.,20
8981,Make the light brighter,18
8982,Please check if any email has arrived.,44
8983,Do I have a visit to the doctor on Thursday?,32
8984,I want to see the Twitter manager from samsung,47
8985,What people will worry about it?,12
8986,What is my list to do today?,59
8987,Is it a holy night this weekend?,32
8988,Where was Kelly Clarkson born?,49
8989,set a day earlier for all the gym courses in my calendar,48
8990,What is the highest mountain in Asia?,49
8991,Where is the God,49
8992,I have to put my jacket in the morning.,13
8993,What are Vietnamese restaurants in the area,19
8994,BMW cars,12
8995,Remove My Meeting List for Tomorrow,53
8996,What Happens,6
8997,Turn off the light in the bedroom.,40
8998,Can you set up my business on Facebook?,47
8999,Is it true that people are in the shadows?,12
9000,Add a new email to the contacts from Janka,15
9001,I need a recipe for a chicken for my fast food.,37
9002,I received emails this week.,44
9003,Remove the post from the list,53
9004,Write My Music Preferences on Playlist,43
9005,What is the exchange rate of British Pound to American Dollar?,10
9006,Please give me an hour in New York.,0
9007,Send this reply to the email received.,33
9008,What are my plans for tomorrow,32
9009,Incorporate SSK,36
9010,What is the event that happens in my neighborhood?,6
9011,Olly today was the best day in my life.,12
9012,Please include classical music for lunch.,45
9013,You can play the next podcast.,58
9014,Play the song of Adele,45
9015,Please play me Michael Jackson's song again,45
9016,The most important news,22
9017,Can you specify the date today?,0
9018,What is the date today,0
9019,Meeting with Peter Frankovsk on Monday at 2 a.m.,50
9020,Tell me about the news from the last minute on TVN twenty four,22
9021,Olly I met today my future wife please plan a date for the next Friday,12
9022,Create a mail to send to this new address,33
9023,Start the radio in the program,36
9024,Give me an hour in the jacket.,0
9025,Will it be cold enough on your gloves today?,13
9026,What time is in our family city?,0
9027,How long does the Romanian fever be,9
9028,Do you play music please?,45
9029,What Now,12
9030,I do not want the wheat to be hunting now.,8
9031,Remove this event,30
9032,What is Janka Kowalski's service number?,17
9033,What the weather is at home today?,13
9034,Should I go to the jarmark in the morning?,32
9035,Can you read the names of my memoirs?,59
9036,Can you play the song of their three?,45
9037,The audio book I listened to last time.,20
9038,Can you remind me of a visit to the dentist a day earlier?,50
9039,Play Jazz in Sanah,45
9040,Lights in my bedroom.,31
9041,The Da Vinci Code,20
9042,The last mail from Renata.,44
9043,Show me new mail in my box.,44
9044,Order food from Sphinx,16
9045,Olly cancell alarms for yoga,52
9046,Download News from TVN Twenty Four,22
9047,Planning an event for every Wednesday.,50
9048,Do you recommend any movies currently played in the area?,55
9049,Turn off the TV for an hour.,46
9050,Add the monkey day to my contacts,15
9051,What was the last film in which Brad Pitt played?,49
9052,Check the latest price trends.,4
9053,Can you turn off the light in this room?,40
9054,You can talk a little more delicate.,14
9055,Good day,5
9056,Olly or you can close for me to the Amazon service because of not delivering my product in time,47
9057,What is the Weekly Weather Report,13
9058,Berk,51
9059,Call the customer by email,47
9060,There is a living room in the box.,19
9061,Play My Electronic Playlist,45
9062,Order me to travel,54
9063,I have to go to order.,3
9064,What the singer thought about giving the title Bohemian Rhapsody,57
9065,Give me the date of the song.,57
9066,Music according to the artist,45
9067,Find my shopping list and delete it.,53
9068,What are the latest information,22
9069,Get a bugatti veyron.,26
9070,What Happens In My Around,6
9071,Please be silent,46
9072,I don’t like these colors at home.,1
9073,Channing Tatu's Birthday,49
9074,What are the latest local news,22
9075,How many new articles have been published in the election in the last hour,22
9076,Showing concerts in Opola,6
9077,Send an email to Belize,33
9078,How is the wife of Obama,49
9079,There are events in the city.,6
9080,Start with a new inspection.,20
9081,Please play my pop playlist.,45
9082,Write your car in my list of things to do.,21
9083,Do I have a mail?,44
9084,You can use Spotify.,36
9085,How to describe a cappella,26
9086,Show me my list.,59
9087,Google looks very quiet the baby sleeps,46
9088,Weather in U.K. Cold,13
9089,Olly sends an email to the cube with a question when he goes out of work,33
9090,Please make the light suitable for viewing.,1
9091,Remove Christmas reception in the church next Wednesday,30
9092,Learn to cut potatoes well.,9
9093,Today's News,22
9094,Remove this event on March 3,30
9095,Remove the alarm at 7 a.m.,52
9096,Do I need a calcium?,13
9097,What is the price of the Alior Company?,4
9098,Remove all events,30
9099,What are Local Events,6
9100,Change the color of the light into red outside the house.,1
9101,Send this,33
9102,Please change to Crimea.,36
9103,Add to the line of performers sanah the song sits up and next male play,45
9104,What trains are available,42
9105,You can play the last podcast,58
9106,I need a train ticket to Rome book a ticket,2
9107,Open the alarm,48
9108,What I have on the list,59
9109,Tweet a complaint about the color of my shoes on ccc,47
9110,I haven’t checked if there’s any news from my close friends.,27
9111,Find train tickets to Eastern Warsaw for today,42
9112,Please rate this song for five stars.,43
9113,Show me the main news from the newspaper.,22
9114,How long bryan cranston played in breaking bad,49
9115,Do I have a mail from Simon?,44
9116,I need this event to be repeated in my calendar.,50
9117,Download the latest news,22
9118,Today is someone’s birthday or anniversary.,32
9119,How to activate the smoke work,34
9120,Undercover the light,18
9121,My lists,59
9122,something new,44
9123,Can you play this song two bicycles for me?,45
9124,What is the Pacific Time?,0
9125,Who built the Prado Museum,49
9126,What are all my lists?,59
9127,Please post the next section in this post.,58
9128,What voice played Paul Deloitte?,49
9129,Is there any scandal?,49
9130,What is the hour on the cub,49
9131,Add to the list to write.,21
9132,Which districts are bordered,49
9133,Repeat this work when it ends.,28
9134,Please show me when I have a financial meeting.,32
9135,Tomorrow will be wind.,13
9136,Write the status that I’ve received an advance,47
9137,Show me the price of the company.,4
9138,Repeat again,20
9139,Change the noise to press,46
9140,Brighten the light,18
9141,Can I put sandals or should I put adidas today at 7 a.m.,13
9142,Go to my playlist to exercise.,45
9143,Where is the party,32
9144,Play rock music.,45
9145,Please light the lights in the bedrooms.,31
9146,What is the currency exchange rate,10
9147,Do I have time to visit the doctor on Tuesday morning?,50
9148,Show the latest TVN reports,22
9149,Remember me later.,50
9150,Exclude the wind,8
9151,I have a passion.,51
9152,Leave a list of my favourites,45
9153,Remove All My Meetings,30
9154,Can I dry my clothes on the ring?,13
9155,I like Top 40 music.,43
9156,Check my list of things to do.,59
9157,Find me a podcast about animals,58
9158,I want to visit the doctor and so on.,50
9159,Send an email about the exercise graphics.,33
9160,Can you include Sunday hockey classes in my calendar as a cyclic event?,50
9161,Cancel your visit to the dentist this week.,30
9162,Recipe for meals,9
9163,Shop with mobile phones,19
9164,Enter your lunch calendar next week.,50
9165,I have a meeting tomorrow morning at 10 pm please remember me.,50
9166,Which country is the least populated in Africa,49
9167,Alexa tell me what the weather is in our city,13
9168,Play Planet Singles,45
9169,Reply to email from Mark,33
9170,Tell me when the train from Warsaw will come to know,42
9171,Nobody Knows by Pink,45
9172,Defining Logic,26
9173,The alarm is set for half an hour after the meal.,48
9174,Will it be hot,13
9175,Choose the best topic,36
9176,Can you make coffee?,56
9177,When I have a break for lunch,32
9178,Tell me the title of this song.,57
9179,How can I find tickets to the Super Bowl for less than a dollar,12
9180,Please turn off the light.,40
9181,Tell me about meetings.,32
9182,What was the weather this week?,13
9183,Add a daily phone to my calendar at 5 a.m.,50
